Name	Chr	Start	End	Strand
Mtx1	chr3	89013003	89031010	-
Thbs3	chr3	89019102	89030759	+
Mir92b	chr3	89031038	89031120	-
Muc1	chr3	89032979	89037303	+
Trim46	chr3	89038099	89050231	-
Krtcap2	chr3	89049888	89053644	+
Dpm3	chr3	89063280	89071001	+
Slc50a1	chr3	89072168	89074492	-
Efna1	chr3	89075655	89085064	-
AC132327.1	chr3	89106404	89106651	+
Efna3	chr3	89117821	89126887	-
Gm15998	chr3	89119361	89122829	+
Efna4	chr3	89137312	89141950	-
4731419I09Rik	chr3	89141772	89151753	+
Adam15	chr3	89142464	89153932	-
Dcst1	chr3	89154141	89169175	-
Gm10702	chr3	89157551	89158820	+
Zbtb7b	chr3	89181566	89198698	-
Gm15417	chr3	89195772	89202701	+
Lenep	chr3	89204910	89206715	-
Flad1	chr3	89204926	89215792	-
Cks1b	chr3	89219394	89222305	-
Shc1	chr3	89222365	89233937	+
Pygo2	chr3	89234136	89239050	+
Pbxip1	chr3	89240628	89254874	+
Pmvk	chr3	89263040	89272935	+
Kcnn3	chr3	89324086	89471683	+
Adar	chr3	89518944	89557368	+
Chrnb2	chr3	89557370	89568554	-
4632404H12Rik	chr3	89571433	89577162	-
Ube2q1	chr3	89577531	89587919	+
She	chr3	89635292	89662756	+
Il6ra	chr3	89673246	89717084	-
Atp8b2	chr3	89743403	89767430	-
U1	chr3	89771921	89772085	-
Hax1	chr3	89799378	89802608	-
Ubap2l	chr3	89803511	89856397	-
SNORA58	chr3	89814517	89814652	-
4933434E20Rik	chr3	89855558	89867263	+
Gm16540	chr3	89861181	89862302	+
1700094D03Rik	chr3	89866718	89872269	+
Mir190b	chr3	89873942	89874021	+
Tpm3	chr3	89876571	89904824	+
Nup210l	chr3	89908054	90015939	+
SNORA41	chr3	89930457	89930588	+
U6	chr3	90002604	90002708	+
Rps27	chr3	90016593	90017573	-
Rab13	chr3	90017617	90030307	+
Jtb	chr3	90035519	90039760	+
Creb3l4	chr3	90041422	90047434	-
Slc39a1	chr3	90052094	90057534	+
Crtc2	chr3	90058085	90068047	+
Gm10973	chr3	90058870	90059011	+
Dennd4b	chr3	90069107	90084591	+
Gatad2b	chr3	90145576	90162042	+
Slc27a3	chr3	90189161	90193860	-
Ints3	chr3	90195310	90237558	-
Npr1	chr3	90254513	90269788	-
Gm16048	chr3	90255505	90261017	+
Ilf2	chr3	90280123	90292301	+
Snapin	chr3	90291948	90294955	-
2500003M10Rik	chr3	90302878	90313420	-
S100a1	chr3	90314956	90318314	-
S100a13	chr3	90318357	90328503	+
S100a14	chr3	90330778	90332755	+
S100a16	chr3	90341176	90347073	+
U6	chr3	90352541	90352646	+
U1	chr3	90364478	90364624	-
S100a3	chr3	90404137	90406624	+
S100a4	chr3	90407692	90409967	+
S100a5	chr3	90412445	90415702	+
S100a6	chr3	90416816	90418336	+
S100a7a	chr3	90458224	90462052	+
S100a8	chr3	90472993	90473956	+
S100a9	chr3	90496554	90499643	-
Pglyrp4	chr3	90530828	90545439	+
4930529C04Rik	chr3	90875584	90879117	+
9130204L05Rik	chr3	90892059	90894727	-
AC163215.1	chr3	91814678	91814787	-
Pglyrp3	chr3	91818505	91835504	+
Gm6097	chr3	91828489	91828833	+
Lor	chr3	91884197	91887064	-
Prr9	chr3	91926126	91927869	-
Lelp1	chr3	91938916	91946676	-
Sprr2a1	chr3	92019757	92026407	+
Sprr2a2	chr3	92019842	92061220	+
Sprr2a3	chr3	92054654	92093169	+
Sprr2b	chr3	92120627	92122007	+
Sprr2d	chr3	92143062	92144795	+
Sprr2e	chr3	92156065	92157371	+
Sprr2f	chr3	92169109	92170364	+
Sprr2g	chr3	92177837	92179151	+
Sprr2h	chr3	92189607	92191246	+
Sprr2i	chr3	92211913	92213193	+
Sprr2j-ps	chr3	92222009	92223318	+
Gm9774	chr3	92232092	92233315	-
Sprr2k	chr3	92236504	92237847	+
Sprr1b	chr3	92240731	92242701	-
Sprr3	chr3	92260697	92261539	-
Sprr1a	chr3	92287874	92289817	-
Sprr4	chr3	92304185	92304415	-
Ivl	chr3	92374834	92377637	-
Smcp	chr3	92387814	92392896	-
Lce6a	chr3	92424003	92425582	-
Lce1a1	chr3	92450454	92452229	-
Lce1b	chr3	92459572	92460848	-
Lce1a2	chr3	92472535	92474237	-
Lce1c	chr3	92483169	92484840	+
Lce1d	chr3	92489421	92491132	-
Gm17510	chr3	92493747	92494085	+
Lce1e	chr3	92511323	92512996	-
Lce1f	chr3	92522607	92524272	-
Lce1g	chr3	92554070	92556260	-
Lce1h	chr3	92567137	92568987	-
Lce1i	chr3	92581132	92582821	-
Lce1j	chr3	92592972	92593391	-
Kprp	chr3	92626996	92631169	-
Lce1l	chr3	92653871	92655208	-
2310050C09Rik	chr3	92672281	92674127	-
Lce3a	chr3	92729213	92730152	-
Lce3b	chr3	92736901	92738020	+
Lce3c	chr3	92748408	92749652	+
U6	chr3	92753080	92753181	-
Gm9782	chr3	92761980	92762353	+
U6	chr3	92765930	92766038	-
2310001H18Rik	chr3	92771899	92772201	+
Lce3f	chr3	92796148	92797347	+
Crct1	chr3	92818127	92819609	-
Lce1m	chr3	92821729	92822982	-
AC135289.1	chr3	92856505	92856594	+
Gm4858	chr3	92877408	92879427	+
Crnn	chr3	92948709	92953393	+
Flg2	chr3	93004132	93024715	+
Flg	chr3	93077463	93086275	+
Rplp0-ps1	chr3	93082063	93082995	+
Flg	chr3	93088551	93089487	+
Flg	chr3	93090067	93091002	+
Flg	chr3	93091582	93092517	+
Flg	chr3	93093856	93094791	+
Flg	chr3	93096121	93097608	+
Hrnr	chr3	93123671	93137492	+
Gm17426	chr3	93187129	93198863	-
Rptn	chr3	93197621	93203364	+
AC123859.1	chr3	93237119	93237227	-
Gm5278	chr3	93237137	93237688	-
Tchh	chr3	93246252	93252999	+
Tchhl1	chr3	93272676	93275902	+
S100a11	chr3	93324410	93330209	+
S100a10	chr3	93359002	93368565	+
Tdpoz2	chr3	93455493	93456585	-
Tdpoz1	chr3	93474184	93475418	-
Gm9107	chr3	93495972	93496994	-
Gm5852	chr3	93530895	93531968	-
Gm5773	chr3	93576922	93578068	+
Tdpoz4	chr3	93600320	93601432	+
Tdpoz3	chr3	93629942	93631039	+
Gm9116	chr3	93713746	93714819	+
Gm9117	chr3	93741476	93742714	-
Tdpoz5	chr3	93764214	93765236	-
Gm9125	chr3	93852824	93854062	-
Gm10697	chr3	93875544	93876566	-
Gm16560	chr3	93977002	93977405	-
Gm10696	chr3	93978334	93982115	-
Gm5286	chr3	94000636	94003724	+
Gm16584	chr3	94005132	94005320	-
Gm4982	chr3	94040624	94041721	-
Gm9141	chr3	94046386	94047392	-
Gm4778	chr3	94067958	94070706	+
Gm16561	chr3	94079155	94079346	-
Them4	chr3	94114011	94136462	+
Them5	chr3	94146021	94151274	+
C2cd4d	chr3	94166366	94168489	+
Rorc	chr3	94176716	94202198	+
Gm17179	chr3	94196893	94206770	-
Lingo4	chr3	94202439	94208423	+
1700040D17Rik	chr3	94213317	94216805	-
Tdrkh	chr3	94217218	94236555	+
Oaz3	chr3	94237088	94240538	-
Mrpl9	chr3	94247240	94255052	+
Riiad1	chr3	94268907	94277513	-
Celf3	chr3	94282753	94296115	+
Snx27	chr3	94301466	94386638	-
Gm15235	chr3	94393388	94393581	+
Gm9154	chr3	94408330	94408706	-
Tuft1	chr3	94416679	94462794	-
Gm10972	chr3	94447034	94447522	+
Gm15234	chr3	94462883	94464037	+
Cgn	chr3	94464507	94590414	-
BC021767	chr3	94465752	94474618	-
Selenbp2	chr3	94497478	94508335	+
Gm15264	chr3	94523945	94562038	-
Gm15263	chr3	94636899	94637727	+
Pogz	chr3	94641489	94686248	+
Psmb4	chr3	94688015	94690883	-
U6	chr3	94724244	94724345	-
Selenbp1	chr3	94736978	94748680	+
Rfx5	chr3	94757997	94765483	+
B230398E01Rik	chr3	94762956	94765970	-
Pi4kb	chr3	94778653	94810765	+
A730011C13Rik	chr3	94798332	94801272	-
Gm15265	chr3	94802722	94808791	-
Zfp687	chr3	94810512	94819370	-
4930481B07Rik	chr3	94819547	94824060	+
Psmd4	chr3	94836616	94846536	-
Pip5k1a	chr3	94862452	94910852	-
SNORD62	chr3	94894547	94894631	-
U6	chr3	94903422	94903528	+
Vps72	chr3	94914944	94926973	+
Tmod4	chr3	94928398	94933131	+
Scnm1	chr3	94933641	94937934	-
Lysmd1	chr3	94938010	94943440	+
Tnfaip8l2	chr3	94943443	94946282	-
Sema6c	chr3	94964379	94977946	+
Gabpb2	chr3	94985688	95021864	-
Gm16740	chr3	95021379	95030580	+
Mllt11	chr3	95023057	95032599	-
Cdc42se1	chr3	95032654	95040331	+
Gm128	chr3	95040842	95045520	-
Bnipl	chr3	95045193	95055115	-
Prune	chr3	95057596	95085998	-
Fam63a	chr3	95085267	95100088	+
Fam63a	chr3	95085767	95088779	+
Anxa9	chr3	95100018	95111098	-
Gm10691	chr3	95111594	95119039	-
RP24-372P19.1	chr3	95115298	95119049	-
Lass2	chr3	95118714	95127510	+
Setdb1	chr3	95127447	95161124	-
Gm4349	chr3	95231593	95235009	+
Arnt	chr3	95238310	95301162	+
Ctsk	chr3	95303208	95313284	+
Ctss	chr3	95330708	95360325	+
Hmgb1-ps5	chr3	95334340	95334896	+
Hormad1	chr3	95363599	95391593	+
Golph3l	chr3	95392856	95423164	+
Rps10-ps1	chr3	95426200	95426720	+
Ensa	chr3	95428902	95436024	+
Mcl1	chr3	95462643	95467099	+
Adamtsl4	chr3	95480124	95491840	-
Ecm1	chr3	95538070	95543492	-
Tars2	chr3	95543899	95558900	-
Rprd2	chr3	95563796	95622876	-
U1	chr3	95600622	95600807	-
Prpf3	chr3	95634047	95659808	-
Gm16884	chr3	95659889	95665408	+
Mrps21	chr3	95666557	95675442	-
C920021L13Rik	chr3	95675445	95693016	+
Gm129	chr3	95682426	95686174	-
BC028528	chr3	95687877	95695928	-
Aph1a	chr3	95697892	95702211	+
Car14	chr3	95701691	95708614	-
Anp32e	chr3	95733169	95751313	+
Plekho1	chr3	95792352	95799924	-
Vps45	chr3	95803755	95862389	-
Otud7b	chr3	95908450	95965052	+
Mtmr11	chr3	95965927	95975641	+
Gm17690	chr3	95971387	95976337	-
Sf3b4	chr3	95976255	95981487	+
SNORA19	chr3	95980284	95980410	+
Sv2a	chr3	95985074	95999444	+
Bola1	chr3	96000511	96023632	-
Gm15444	chr3	96013550	96024091	-
Hist2h2ab	chr3	96023788	96024231	+
Hist2h2ac	chr3	96024284	96024803	-
Hist2h2be	chr3	96025044	96027661	+
Hist2h3c2	chr3	96042040	96043050	-
RP24-201C14.5	chr3	96043316	96045742	+
Hist2h2aa2	chr3	96043639	96044216	-
RP24-201C14.6	chr3	96047473	96050303	-
Hist2h2aa1	chr3	96049461	96050038	+
Hist2h3c1	chr3	96049477	96052432	+
Hist2h3c1	chr3	96050608	96052427	+
RP24-201C14.11	chr3	96058542	96060200	-
Hist2h4	chr3	96065627	96067234	-
RP24-201C14.10	chr3	96070998	96074212	-
Hist2h3b	chr3	96072577	96073064	+
Hist2h2bb	chr3	96073644	96082924	+
Fcgr1	chr3	96086832	96098179	-
U1	chr3	96132348	96132513	+
Gm17667	chr3	96152550	96161017	-
Gm17580	chr3	96153850	96162403	+
U1	chr3	96163876	96164040	-
U1	chr3	96177944	96178108	+
Gm17575	chr3	96179569	96192787	-
Gm17587	chr3	96180956	96189446	+
4930477E14Rik	chr3	96205073	96205937	-
Telomerase-vert	chr3	96218360	96218782	-
U1	chr3	96226656	96226820	+
BC107364	chr3	96237711	96256229	-
U1	chr3	96254369	96254534	+
U1	chr3	96263947	96264112	-
U1	chr3	96290478	96290642	-
U1	chr3	96292652	96292816	+
Hfe2	chr3	96329108	96333139	+
Gm15441	chr3	96359688	96370724	-
Txnip	chr3	96361880	96365806	+
Gm16253	chr3	96380907	96384586	+
Polr3gl	chr3	96381795	96398104	-
Ankrd34a	chr3	96400559	96403698	+
Lix1l	chr3	96405056	96429275	+
6330549D23Rik	chr3	96410582	96433743	-
Rbm8a	chr3	96433851	96437702	+
Pex11b	chr3	96439299	96457024	+
Itga10	chr3	96449507	96468442	+
Rpl21-ps11	chr3	96470438	96470905	-
Ankrd35	chr3	96474054	96494932	+
Pias3	chr3	96500307	96509993	+
Nudt17	chr3	96509815	96512483	-
Polr3c	chr3	96515413	96531551	-
SNORA5	chr3	96528188	96528323	-
Rnf115	chr3	96531534	96595078	+
Cd160	chr3	96602686	96633274	-
Pdzk1	chr3	96633207	96674849	+
4930442L01Rik	chr3	96635261	96636019	-
Gpr89	chr3	96672204	96709269	-
Gja5	chr3	96708616	96881339	+
Gja8	chr3	96722786	96729943	-
U6	chr3	96944475	96944584	-
Acp6	chr3	96962700	96980497	+
Bcl9	chr3	97007585	97032769	-
Gm17608	chr3	97088831	97101701	-
Olfr1402	chr3	97214140	97215102	-
Chd1l	chr3	97364665	97414126	-
Fmo5	chr3	97432727	97459205	+
Prkab2	chr3	97462116	97477735	+
Gm17651	chr3	97477641	97478617	-
Pde4dip	chr3	97493747	97692630	-
Gm15999	chr3	97696154	97705012	-
Sec22b	chr3	97705113	97727199	+
Gm5544	chr3	97734096	97770941	+
Notch2	chr3	97817461	97954290	+
Adam30	chr3	97964735	97967096	+
Reg4	chr3	98026079	98040671	+
Hmgcs2	chr3	98084358	98114661	+
Phgdh	chr3	98117093	98143913	-
Zfp697	chr3	98186404	98235871	+
Gm4450	chr3	98249609	98260954	-
Hsd3b4	chr3	98302998	98313958	-
Gm10681	chr3	98356476	98367961	-
Hsd3b5	chr3	98422559	98434232	-
Gm12399	chr3	98473777	98482251	-
Gm12400	chr3	98484755	98492105	-
Hsd3b2	chr3	98513178	98528499	-
Hsd3b3	chr3	98545399	98567051	-
Hsd3b6	chr3	98609427	98618366	-
Gm12427	chr3	98622005	98623942	-
Gm12428	chr3	98624961	98625687	+
Gm12431	chr3	98646794	98646961	-
Gm12432	chr3	98650262	98650447	-
Gm12433	chr3	98650429	98650683	+
Hsd3b1	chr3	98656117	98663717	-
Hao2	chr3	98678500	98697162	-
5730437C11Rik	chr3	98739567	98745179	-
Gm12440	chr3	98853745	98857665	+
Gm12441	chr3	98904490	98905077	-
SNORA44	chr3	98917078	98917206	-
SNORA17	chr3	98928109	98928225	-
Wars2	chr3	98944991	99043109	+
Tbx15	chr3	99044304	99158182	+
Gm12449	chr3	99267515	99267748	-
M6pr-ps	chr3	99303947	99306568	+
Gm12448	chr3	99348370	99348891	-
U6	chr3	99511663	99511770	-
Gm12450	chr3	99532020	99532487	-
Spag17	chr3	99689329	99947245	+
Rpl36-ps7	chr3	99812283	99812597	+
Gm12457	chr3	99882400	99882567	-
B930086A06Rik	chr3	99904607	99910818	-
Wdr3	chr3	99942103	99966330	-
Gdap2	chr3	99966304	100010904	+
SNORD81	chr3	100107211	100107287	+
Gm12464	chr3	100217483	100218483	+
4930406D18Rik	chr3	100230328	100241677	+
Fam46c	chr3	100255551	100293247	-
Gm12474	chr3	100293587	100327843	+
Man1a2	chr3	100366130	100489426	-
Gm12485	chr3	100484188	100484478	+
7SK	chr3	100542375	100542636	-
Vtcn1	chr3	100629382	100699602	+
Trim45	chr3	100726125	100740848	+
Ttf2	chr3	100742783	100773586	-
Gm12488	chr3	100759364	100759862	+
Cd101	chr3	100797453	100833479	-
Ptgfrn	chr3	100844155	100914201	-
Gm12486	chr3	101010782	101011322	-
Tpt1-ps1	chr3	101037383	101037818	+
Gm12490	chr3	101064840	101065399	+
Cd2	chr3	101079822	101091862	-
Gm10355	chr3	101110484	101111002	-
Igsf3	chr3	101181048	101266983	+
Atp1a1	chr3	101380142	101408586	-
Mab21l3	chr3	101616999	101652882	-
Slc22a15	chr3	101659701	101728376	-
Nhlh2	chr3	101814068	101819415	+
Casq2	chr3	101890338	101950437	+
Vangl1	chr3	101960624	102008616	-
Gm16160	chr3	102007879	102010189	+
Ngf	chr3	102273851	102324936	+
2410057H14Rik	chr3	102524154	102539340	-
Tspan2	chr3	102538452	102576215	+
Tshb	chr3	102581321	102586637	-
Sycp1	chr3	102622422	102740023	-
Nr1h5	chr3	102743581	102768056	-
U1	chr3	102755872	102756036	-
Sike1	chr3	102799651	102807837	+
Csde1	chr3	102824469	102862112	+
Nras	chr3	102862152	102871837	+
Ampd1	chr3	102877937	102903637	+
7SK	chr3	102886799	102887098	+
Dennd2c	chr3	102906527	102973692	+
Bcas2	chr3	102975578	102983089	+
2410024N13Rik	chr3	103002149	103002898	-
Trim33	chr3	103083216	103162691	+
7SK	chr3	103183323	103183654	-
SNORA17	chr3	103196856	103196957	+
U6	chr3	103231360	103231466	+
U6	chr3	103249620	103249723	-
Syt6	chr3	103379154	103449490	+
Atg4a-ps	chr3	103447926	103449992	-
snoU13	chr3	103464862	103464966	+
AC123057.1	chr3	103470465	103470550	-
Gm15986	chr3	103498721	103499120	+
Gm16520	chr3	103526145	103538152	-
BC027582	chr3	103535603	103536476	-
Olfml3	chr3	103537623	103541924	-
Gm10964	chr3	103543289	103550299	+
Hipk1	chr3	103543738	103595486	-
Gm15886	chr3	103575875	103593325	+
Dclre1b	chr3	103604528	103613367	-
Gm15471	chr3	103607052	103612362	+
Ap4b1	chr3	103613443	103625948	+
Bcl2l15	chr3	103636524	103658541	+
Ptpn22	chr3	103663718	103716170	+
Gm15472	chr3	103667089	103668346	+
Gm15602	chr3	103706450	103706886	-
Rsbn1	chr3	103718043	103770559	+
A130049A11Rik	chr3	103768459	103772504	-
Phtf1	chr3	103772033	103828521	+
Magi3	chr3	103817182	104024297	-
U6	chr3	103896304	103896405	+
SNORA17	chr3	104005033	104005148	+
Gm5546	chr3	104154558	104170536	-
Lrig2	chr3	104257907	104315840	-
U6	chr3	104405081	104405162	-
Slc16a1	chr3	104442591	104462385	+
U6	chr3	104504793	104504882	+
Gm6485	chr3	104555645	104556083	-
Fam19a3	chr3	104570324	104584758	-
Ppm1j	chr3	104583974	104588936	+
Rhoc	chr3	104591929	104597377	+
Mov10	chr3	104597754	104621481	-
Capza1	chr3	104625697	104667423	-
St7l	chr3	104667421	104730812	+
Wnt2b	chr3	104747723	104764627	-
Cttnbp2nl	chr3	104804833	104856064	-
4930564D02Rik	chr3	104869762	104881724	+
1700095B22Rik	chr3	105244513	105255873	-
Kcnd3	chr3	105255248	105476920	+
Ddx20	chr3	105481178	105490492	-
6530418L21Rik	chr3	105507517	105523760	+
Rap1a	chr3	105530185	105604248	-
Adora3	chr3	105673776	105711846	+
Adora3	chr3	105673825	105726954	+
I830077J02Rik	chr3	105728809	105735582	-
Atp5f1	chr3	105745616	105763017	-
Wdr77	chr3	105762287	105787518	+
Ovgp1	chr3	105776629	105790341	+
1700027A23Rik	chr3	105799875	105817523	-
Chi3l7	chr3	105819837	105835813	-
Gm4540	chr3	105837628	105837921	+
Chia	chr3	105916147	105935038	+
Chi3l3	chr3	105950472	106022425	-
Chi3l4	chr3	106004408	106022425	-
BC051070	chr3	106190306	106209100	-
2010016I18Rik	chr3	106284931	106286355	-
Dennd2d	chr3	106285323	106305948	+
Cept1	chr3	106305178	106350720	-
Dram2	chr3	106350611	106377763	+
4933421E11Rik	chr3	106487905	106539495	+
Cd53	chr3	106561779	106593067	-
Olfr266	chr3	106624474	106625500	-
Kcna3	chr3	106839080	106841047	+
AI504432	chr3	106842422	106854070	+
A930002I21Rik	chr3	106893880	106901319	+
Kcna2	chr3	106904485	106909797	+
Kcna10	chr3	106985974	106998639	+
Cym	chr3	107014211	107024650	-
Prok1	chr3	107038449	107042625	-
Hbxip	chr3	107081776	107086997	+
Slc16a4	chr3	107094148	107115033	+
Rbm15	chr3	107128863	107136591	-
7SK	chr3	107218781	107219113	-
Kcnc4	chr3	107241221	107261816	-
Slc6a17	chr3	107270461	107320936	-
Ubl4b	chr3	107356616	107357991	-
Alx3	chr3	107397949	107408792	+
Alx3	chr3	107397949	107408687	+
Fam40a	chr3	107415450	107434628	-
Gm10961	chr3	107434240	107436008	+
Ahcyl1	chr3	107466036	107499478	-
Csf1	chr3	107543966	107563387	-
Eps8l3	chr3	107680148	107695817	+
4933431E20Rik	chr3	107691768	107699131	-
Gstm5	chr3	107698739	107701604	+
Gm12489	chr3	107722580	107722727	+
Gstm7	chr3	107729252	107734735	-
Gstm6	chr3	107741765	107746667	-
Gstm3	chr3	107745251	107772201	-
Gm12494	chr3	107746163	107756354	-
Gm12497	chr3	107782550	107782786	+
Gstm2	chr3	107784620	107789371	-
Gstm1	chr3	107815173	107820891	-
Gm12498	chr3	107821212	107828167	-
Gm12502	chr3	107822803	107823246	+
Gm12499	chr3	107832518	107834279	-
SNORA71	chr3	107836944	107837074	+
Gstm4	chr3	107843326	107847812	-
Ampd2	chr3	107876980	107889569	-
Gm12500	chr3	107888894	107890927	+
Gnat2	chr3	107895707	107904350	+
Gnai3	chr3	107910198	107949064	-
Gpr61	chr3	107951239	107957800	-
Gm12524	chr3	107969361	107988825	+
Amigo1	chr3	107989253	107995204	+
Cyb561d1	chr3	107998605	108004130	-
Atxn7l2	chr3	108005140	108013852	-
Sypl2	chr3	108014390	108029566	-
Gm12501	chr3	108042301	108042829	-
1700010K24Rik	chr3	108051827	108059903	-
Psma5	chr3	108059844	108082892	+
Gm12523	chr3	108086816	108087761	-
Sort1	chr3	108087009	108164429	+
Gm12525	chr3	108164469	108165174	+
Mybphl	chr3	108167829	108182974	+
Gm12522	chr3	108182195	108186659	-
Psrc1	chr3	108186757	108191149	+
Celsr2	chr3	108193769	108218470	-
Sars	chr3	108227783	108248127	-
SNORA70	chr3	108244248	108244371	+
5330417C22Rik	chr3	108258612	108339444	-
U6atac	chr3	108301036	108301158	+
1700013F07Rik	chr3	108337068	108347641	+
Scarna2	chr3	108357256	108357669	-
Tmem167b	chr3	108359343	108365384	-
AL683823.1	chr3	108370228	108370301	-
Taf13	chr3	108374616	108386140	+
Wdr47	chr3	108394197	108448637	+
Gm12517	chr3	108405309	108405733	-
Clcc1	chr3	108456831	108481758	+
Gpsm2	chr3	108481556	108525105	-
Aknad1	chr3	108542576	108585214	+
Stxbp3a	chr3	108596094	108643444	-
Fndc7	chr3	108656596	108692926	-
Prpf38b	chr3	108705585	108714645	-
Gm12521	chr3	108739741	108741156	-
Gm9857	chr3	108742971	108743363	-
4921515J06Rik	chr3	108743002	108763692	+
Fam102b	chr3	108773915	108830525	-
4930443G12Rik	chr3	108883387	108919605	+
Slc25a24	chr3	108926067	108971375	+
Gm13865	chr3	108994921	108995785	-
Vav3	chr3	109143571	109488616	+
Ntng1	chr3	109582958	109938426	-
U6	chr3	109666698	109666803	+
Gm12535	chr3	109710302	109710785	+
Ntng1	chr3	109946603	109946929	-
Prmt6	chr3	110049027	110053916	-
U6	chr3	110367355	110367459	-
SNORA17	chr3	112001833	112001959	-
Gm5548	chr3	112856807	112857202	-
Amy2b	chr3	112950574	112959645	-
Amy2-ps1	chr3	112985167	113009615	-
Amy2a5	chr3	113052094	113061755	-
Amy2a4	chr3	113084761	113094367	-
Amy2a3	chr3	113117373	113159438	-
Amy2a2	chr3	113149973	113235208	-
Amy2a1	chr3	113232321	113235346	-
Amy1	chr3	113258628	113309617	-
Rnpc3	chr3	113307985	113333067	-
Col11a1	chr3	113733458	113923636	+
SNORA17	chr3	114527072	114527203	-
Olfm3	chr3	114606996	114828640	+
SNORA17	chr3	115094472	115094603	+
AC161513.1	chr3	115186934	115187054	-
S1pr1	chr3	115413351	115417973	-
Gm9889	chr3	115418068	115419645	+
A930005H10Rik	chr3	115590740	115591048	-
Dph5	chr3	115591083	115637279	+
Slc30a7	chr3	115641891	115710324	-
Mir669n	chr3	115682820	115682873	+
Extl2	chr3	115710380	115731934	+
SNORA17	chr3	115768706	115768837	-
Vcam1	chr3	115812938	115832606	-
Gm17730	chr3	115853397	115868739	+
Gpr88	chr3	115952572	115956402	-
Cdc14a	chr3	115975471	116126950	-
U1	chr3	116151307	116151482	-
SNORA17	chr3	116169537	116169633	+
Rtcd1	chr3	116191881	116211126	-
Gm17632	chr3	116191884	116196276	+
Dbt	chr3	116215988	116252894	+
Gm4596	chr3	116231055	116231496	-
Gm9761	chr3	116264003	116264344	-
Lrrc39	chr3	116265891	116286052	+
Ccdc76	chr3	116284011	116317505	-
Sass6	chr3	116297926	116333902	+
Hiat1	chr3	116334082	116384178	-
Slc35a3	chr3	116372387	116415749	-
Agl	chr3	116442917	116511084	-
Frrs1	chr3	116581145	116606668	+
Palmd	chr3	116621174	116671905	-
4930455H04Rik	chr3	116671185	116687324	+
1700061I17Rik	chr3	116763440	116780683	-
D3Bwg0562e	chr3	117022063	117063794	-
AC165162.1	chr3	117025859	117025923	+
4833424O15Rik	chr3	117278145	117392425	+
Snx7	chr3	117484415	117571854	-
AC115933.1	chr3	117551471	117551570	-
Mir137	chr3	118136761	118136862	+
AC122183.1	chr3	118137639	118137748	+
Dpyd	chr3	118265047	119135836	+
snoCD11	chr3	119038815	119038884	+
SNORA17	chr3	119341662	119341792	-
Ptbp2	chr3	119421660	119486306	-
AC111029.1	chr3	119534855	119534975	+
AC111029.2	chr3	119540822	119540942	+
U7	chr3	119740789	119740846	+
U6	chr3	120020802	120020907	-
SNORA17	chr3	120312884	120313011	-
Rwdd3	chr3	120858318	120874613	-
Tmem56	chr3	120904679	120986016	-
AC110195.1	chr3	120933178	120933248	+
Alg14	chr3	120994735	121064929	+
7SK	chr3	121040610	121040877	+
Cnn3	chr3	121129459	121161123	+
Slc44a3	chr3	121162447	121235262	-
A530020G20Rik	chr3	121234529	121238356	+
A730020M07Rik	chr3	121340063	121346403	-
4930432M17Rik	chr3	121374235	121385753	+
F3	chr3	121426455	121437970	+
Abcd3	chr3	121461827	121518220	-
Gm17676	chr3	121499382	121499550	+
Arhgap29	chr3	121656147	121719595	+
Abca4	chr3	121747361	121882979	+
Gm16078	chr3	121757668	121758466	-
Gm4609	chr3	121933113	121934114	-
AC134918.1	chr3	121935453	121935554	-
Gclm	chr3	121948475	121972902	+
RP23-71G16.1	chr3	121959646	121960137	+
Gm17494	chr3	121960009	121996465	-
Dnttip2	chr3	121977332	121988187	+
Mir760	chr3	121996503	121996621	-
Bcar3	chr3	122122698	122233098	+
U1	chr3	122167645	122167800	+
Fnbp1l	chr3	122241637	122322585	-
Pde5a	chr3	122432076	122562292	+
Gm9364	chr3	122564802	122565594	+
4933405D12Rik	chr3	122567655	122627034	-
Fabp2	chr3	122597990	122602424	+
Gm10959	chr3	122615988	122622278	-
1810037I17Rik	chr3	122627280	122629111	+
Usp53	chr3	122636519	122687422	-
Myoz2	chr3	122709124	122737908	-
AC121540.1	chr3	122718177	122718286	-
Synpo2	chr3	122779437	122939067	-
Sec24d	chr3	122970414	123068553	+
Mettl14	chr3	123067563	123088908	-
U6atac	chr3	123094032	123094161	-
Prss12	chr3	123149831	123209520	+
Snora24	chr3	123210855	123210984	-
Ndst3	chr3	123229084	123393770	-
U6	chr3	123446215	123446321	-
Gm15400	chr3	123464247	123464853	+
Gm15399	chr3	123687015	123687981	-
Gm9372	chr3	123994977	123995423	+
Tram1l1	chr3	124023955	124026178	+
1700006A11Rik	chr3	124103908	124128957	-
U6	chr3	124113573	124113682	+
SNORA17	chr3	124204492	124204621	+
1700003H04Rik	chr3	124259270	124284009	-
7SK	chr3	124551507	124551804	+
Ndst4	chr3	125107009	125427904	+
Ugt8a	chr3	125568277	125641468	-
7SK	chr3	125855374	125855641	-
Arsj	chr3	126066745	126143292	+
Gm17225	chr3	126135801	126142187	-
Camk2d	chr3	126299220	126547972	+
Gm15551	chr3	126370247	126371950	-
Ank2	chr3	126624525	127111949	-
SNORA17	chr3	126708287	126708418	+
Gm16958	chr3	126864223	126871206	+
Gm4392	chr3	127201581	127201919	-
Larp7	chr3	127239872	127256266	-
